,xrefs_inchikey,associated_pathways_kegg_map_id,associated_pathways_name,associated_pathways_type,associated_pathways_smpdb_id
23,LCTONWCANYUPML-UHFFFAOYSA-N,,transfer of acetyl groups into mitochondria,biolink:Pathway,SMP00466
23,LCTONWCANYUPML-UHFFFAOYSA-N,,triosephosphate isomerase,biolink:Pathway,SMP00563
23,LCTONWCANYUPML-UHFFFAOYSA-N,map00330,urea cycle,biolink:Pathway,SMP00059
23,LCTONWCANYUPML-UHFFFAOYSA-N,,warburg effect,biolink:Pathway,SMP00654
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,2-hydroxyglutric aciduria (d and l form),biolink:Pathway,SMP00136
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,2-ketoglutarate dehydrogenase complex deficiency,biolink:Pathway,SMP00549
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,2-methyl-3-hydroxybutryl coa dehydrogenase deficiency,biolink:Pathway,SMP00137
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,3-hydroxy-3-methylglutaryl-coa lyase deficiency,biolink:Pathway,SMP00138
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,3-hydroxyisobutyric acid dehydrogenase deficiency,biolink:Pathway,SMP00521
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,3-hydroxyisobutyric aciduria,biolink:Pathway,SMP00522
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,3-methylcrotonyl coa carboxylase deficiency type i,biolink:Pathway,SMP00237
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,3-methylglutaconic aciduria type i,biolink:Pathway,SMP00139
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,3-methylglutaconic aciduria type iii,biolink:Pathway,SMP00140
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,3-methylglutaconic aciduria type iv,biolink:Pathway,SMP00141
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,4-hydroxybutyric aciduria/succinic semialdehyde dehydrogenase deficiency,biolink:Pathway,SMP00243
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,map00330,arginine and proline metabolism,biolink:Pathway,
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,arginine: glycine amidinotransferase deficiency (agat deficiency),biolink:Pathway,SMP00362
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,beta-ketothiolase deficiency,biolink:Pathway,SMP00173
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,map00650,butyrate metabolism,biolink:Pathway,SMP00073
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,carnitine synthesis,biolink:Pathway,SMP00465
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,map00020,citric acid cycle,biolink:Pathway,SMP00057
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,congenital lactic acidosis,biolink:Pathway,SMP00546
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,"creatine deficiency, guanidinoacetate methyltransferase deficiency",biolink:Pathway,SMP00504
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,fumarase deficiency,biolink:Pathway,SMP00547
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,map00250,glutamate metabolism,biolink:Pathway,SMP00072
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,glutaminolysis and cancer,biolink:Pathway,SMP02298
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,guanidinoacetate methyltransferase deficiency (gamt deficiency),biolink:Pathway,SMP00188
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,homocarnosinosis,biolink:Pathway,SMP00385
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,hyperinsulinism-hyperammonemia syndrome,biolink:Pathway,SMP00339
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,hyperornithinemia with gyrate atrophy (hoga),biolink:Pathway,SMP00505
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,hyperornithinemia-hyperammonemia-homocitrullinuria [hhh-syndrome],biolink:Pathway,SMP00506
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,hyperprolinemia type i,biolink:Pathway,SMP00361
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,hyperprolinemia type ii,biolink:Pathway,SMP00360
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,isobutyryl-coa dehydrogenase deficiency,biolink:Pathway,SMP00523
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,isovaleric acidemia,biolink:Pathway,SMP00524
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,isovaleric aciduria,biolink:Pathway,SMP00238
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,map00072,ketone body metabolism,biolink:Pathway,SMP00071
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,l-arginine:glycine amidinotransferase deficiency,biolink:Pathway,SMP00507
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,maple syrup urine disease,biolink:Pathway,SMP00199
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,methylmalonate semialdehyde dehydrogenase deficiency,biolink:Pathway,SMP00384
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,methylmalonic aciduria,biolink:Pathway,SMP00200
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,mitochondrial complex ii deficiency,biolink:Pathway,SMP00548
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,ornithine aminotransferase deficiency (oat deficiency),biolink:Pathway,SMP00363
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,oxidation of branched chain fatty acids,biolink:Pathway,SMP00030
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,map00190,oxidative phosphorylation,biolink:Pathway,
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,phytanic acid peroxisomal oxidation,biolink:Pathway,SMP00450
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,prolidase deficiency (pd),biolink:Pathway,SMP00207
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,prolinemia type ii,biolink:Pathway,SMP00208
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,propionic acidemia,biolink:Pathway,SMP00236
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,pyruvate dehydrogenase deficiency (e2),biolink:Pathway,SMP00551
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,pyruvate dehydrogenase deficiency (e3),biolink:Pathway,SMP00550
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,refsum disease,biolink:Pathway,SMP00451
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,succinic semialdehyde dehydrogenase deficiency,biolink:Pathway,SMP00567
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,succinyl coa: 3-ketoacid coa transferase deficiency,biolink:Pathway,SMP00569
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,the oncogenic action of 2-hydroxyglutarate,biolink:Pathway,SMP02291
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,the oncogenic action of d-2-hydroxyglutarate in  hydroxygluaricaciduria ,biolink:Pathway,SMP02359
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,the oncogenic action of fumarate,biolink:Pathway,SMP02295
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,the oncogenic action of l-2-hydroxyglutarate in  hydroxygluaricaciduria,biolink:Pathway,SMP02358
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,the oncogenic action of succinate,biolink:Pathway,SMP02292
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,map00280,"valine, leucine and isoleucine degradation",biolink:Pathway,
24,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,warburg effect,biolink:Pathway,SMP00654
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,3-methylthiofentanyl action pathway,biolink:Pathway,SMP00679
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,alfentanil action pathway,biolink:Pathway,SMP00413
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,alvimopan action pathway,biolink:Pathway,SMP00685
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,anileridine action pathway,biolink:Pathway,SMP00674
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,benzocaine action pathway,biolink:Pathway,SMP00392
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,bupivacaine action pathway,biolink:Pathway,SMP00393
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,buprenorphine action pathway,biolink:Pathway,SMP00684
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,carfentanil action pathway,biolink:Pathway,SMP00414
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,chloroprocaine action pathway,biolink:Pathway,SMP00394
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,citalopram action pathway,biolink:Pathway,SMP00424
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,cocaine action pathway,biolink:Pathway,SMP00395
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,codeine action pathway,biolink:Pathway,SMP00405
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,desipramine action pathway,biolink:Pathway,SMP00423
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,dezocine action pathway,biolink:Pathway,SMP00676
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,dibucaine action pathway,biolink:Pathway,SMP00396
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,dihydromorphine action pathway,biolink:Pathway,SMP00689
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,dimethylthiambutene action pathway,biolink:Pathway,SMP00680
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,diphenoxylate action pathway,biolink:Pathway,SMP00675
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,escitalopram action pathway,biolink:Pathway,SMP00425
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,ethylmorphine action pathway,biolink:Pathway,SMP00681
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,excitatory neural signalling through 5-htr 4 and serotonin,biolink:Pathway,SMP00309
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,excitatory neural signalling through 5-htr 6 and serotonin,biolink:Pathway,SMP00312
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,excitatory neural signalling through 5-htr 7 and serotonin,biolink:Pathway,SMP00311
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,fentanyl action pathway,biolink:Pathway,SMP00415
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,fluoxetine action pathway,biolink:Pathway,SMP00426
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,heroin action pathway,biolink:Pathway,SMP00407
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,hydrocodone action pathway,biolink:Pathway,SMP00411
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,hydromorphone action pathway,biolink:Pathway,SMP00410
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,imipramine action pathway,biolink:Pathway,SMP00422
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,ketobemidone  action pathway,biolink:Pathway,SMP00690
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,levallorphan action pathway,biolink:Pathway,SMP00683
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,levobupivacaine action pathway,biolink:Pathway,SMP00397
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,levomethadyl acetate action action pathway,biolink:Pathway,SMP00677
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,levorphanol action pathway,biolink:Pathway,SMP00673
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,lidocaine (local anaesthetic) action pathway,biolink:Pathway,SMP00398
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,mepivacaine action pathway,biolink:Pathway,SMP00399
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,methadone action pathway,biolink:Pathway,SMP00408
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,methadyl acetate action pathway,biolink:Pathway,SMP00678
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,morphine action pathway,biolink:Pathway,SMP00406
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,nalbuphine action pathway,biolink:Pathway,SMP00691
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,naloxone action pathway,biolink:Pathway,SMP00688
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,naltrexone action pathway,biolink:Pathway,SMP00687
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,nicotine action pathway,biolink:Pathway,SMP00431
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,oxybuprocaine action pathway,biolink:Pathway,SMP00400
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,oxycodone action pathway,biolink:Pathway,SMP00409
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,oxymorphone action pathway,biolink:Pathway,SMP00412
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,pentazocine action pathway,biolink:Pathway,SMP00686
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,prilocaine action pathway,biolink:Pathway,SMP00401
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,procaine action pathway,biolink:Pathway,SMP00402
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,proparacaine action pathway,biolink:Pathway,SMP00403
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,propoxyphene action pathway,biolink:Pathway,SMP00672
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,remifentanil action pathway,biolink:Pathway,SMP00416
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,ropivacaine action pathway,biolink:Pathway,SMP00404
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,sufentanil action pathway,biolink:Pathway,SMP00417
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,tramadol action action pathway,biolink:Pathway,SMP00671
25,QZAYGJVTTNCVMB-UHFFFAOYSA-N,map00380,tryptophan metabolism,biolink:Pathway,
26,DZGWFCGJZKJUFP-UHFFFAOYSA-N,,alkaptonuria,biolink:Pathway,SMP00169
26,DZGWFCGJZKJUFP-UHFFFAOYSA-N,,disulfiram action pathway,biolink:Pathway,SMP00429
26,DZGWFCGJZKJUFP-UHFFFAOYSA-N,,dopamine beta-hydroxylase deficiency,biolink:Pathway,SMP00498
26,DZGWFCGJZKJUFP-UHFFFAOYSA-N,,hawkinsinuria,biolink:Pathway,SMP00190
26,DZGWFCGJZKJUFP-UHFFFAOYSA-N,,monoamine oxidase-a deficiency (mao-a),biolink:Pathway,SMP00533
26,DZGWFCGJZKJUFP-UHFFFAOYSA-N,map00350,tyrosine metabolism,biolink:Pathway,
26,DZGWFCGJZKJUFP-UHFFFAOYSA-N,,tyrosinemia type i,biolink:Pathway,SMP00218
26,DZGWFCGJZKJUFP-UHFFFAOYSA-N,,"tyrosinemia, transient, of the newborn",biolink:Pathway,SMP00494
27,DZAIOXUZHHTJKN-UHFFFAOYSA-N,,,,
28,QVWAEZJXDYOKEH-UHFFFAOYSA-N,,,,
29,MUCMKTPAZLSKTL-NSHDSACASA-N,,,,
30,BITYXLXUCSKTJS-ZETCQYMHSA-N,,,,
31,DZAUWHJDUNRCTF-UHFFFAOYSA-N,,,,
32,XFTRTWQBIOMVPK-UHFFFAOYSA-N,,,,
33,FVMDYYGIDFPZAX-UHFFFAOYSA-N,,,,
34,WNLRTRBMVRJNCN-UHFFFAOYSA-N,,,,
35,POJWUDADGALRAB-UHFFFAOYSA-N,,,,
36,ZFRKQXVRDFCRJG-UHFFFAOYSA-N,,,,
37,WKOLLVMJNQIZCI-UHFFFAOYSA-N,,,,
38,FJKROLUGYXJWQN-UHFFFAOYSA-N,map00130,ubiquinone biosynthesis,biolink:Pathway,SMP00065
39,QYIXCDOBOSTCEI-NWKZBHTNSA-N,,,,
40,LQXVFWRQNMEDEE-UOWFLXDJSA-N,,,,
41,SRBFZHDQGSBBOR-KLVWXMOXSA-N,,,,
42,JFCQEDHGNNZCLN-UHFFFAOYSA-N,,,,
43,XGILAAMKEQUXLS-JTQLQIEISA-N,,,,
44,BXFFHSIDQOFMLE-UHFFFAOYSA-N,,,,
45,ALRHLSYJTWAHJZ-UHFFFAOYSA-N,,malonic aciduria,biolink:Pathway,SMP00198
45,ALRHLSYJTWAHJZ-UHFFFAOYSA-N,,malonyl-coa decarboxylase deficiency,biolink:Pathway,SMP00502
45,ALRHLSYJTWAHJZ-UHFFFAOYSA-N,,methylmalonic aciduria due to cobalamin-related disorders,biolink:Pathway,SMP00201
45,ALRHLSYJTWAHJZ-UHFFFAOYSA-N,map00640,propanoate metabolism,biolink:Pathway,
46,KKADPXVIOXHVKN-UHFFFAOYSA-N,,alkaptonuria,biolink:Pathway,SMP00169
46,KKADPXVIOXHVKN-UHFFFAOYSA-N,,disulfiram action pathway,biolink:Pathway,SMP00429
46,KKADPXVIOXHVKN-UHFFFAOYSA-N,,dopamine beta-hydroxylase deficiency,biolink:Pathway,SMP00498
46,KKADPXVIOXHVKN-UHFFFAOYSA-N,,hawkinsinuria,biolink:Pathway,SMP00190
46,KKADPXVIOXHVKN-UHFFFAOYSA-N,,monoamine oxidase-a deficiency (mao-a),biolink:Pathway,SMP00533
46,KKADPXVIOXHVKN-UHFFFAOYSA-N,map00360,phenylalanine and tyrosine metabolism,biolink:Pathway,SMP00008
46,KKADPXVIOXHVKN-UHFFFAOYSA-N,,phenylketonuria,biolink:Pathway,SMP00206
46,KKADPXVIOXHVKN-UHFFFAOYSA-N,map00350,tyrosine metabolism,biolink:Pathway,
46,KKADPXVIOXHVKN-UHFFFAOYSA-N,,tyrosinemia type 2 (or richner-hanhart syndrome),biolink:Pathway,SMP00369
46,KKADPXVIOXHVKN-UHFFFAOYSA-N,,tyrosinemia type 3 (tyro3),biolink:Pathway,SMP00370
46,KKADPXVIOXHVKN-UHFFFAOYSA-N,,tyrosinemia type i,biolink:Pathway,SMP00218
46,KKADPXVIOXHVKN-UHFFFAOYSA-N,,"tyrosinemia, transient, of the newborn",biolink:Pathway,SMP00494
47,SJZRECIVHVDYJC-UHFFFAOYSA-N,,,,
48,QIAFMBKCNZACKA-UHFFFAOYSA-N,,,,
49,PLVPPLCLBIEYEA-AATRIKPKSA-N,,,,
50,SIKJAQJRHWYJAI-UHFFFAOYSA-N,,,,
51,LVRFTAZAXQPQHI-YFKPBYRVSA-N,,,,
52,JVGVDSSUAVXRDY-UHFFFAOYSA-N,,,,
53,DUUGKQCEGZLZNO-UHFFFAOYSA-N,map00380,tryptophan metabolism,biolink:Pathway,
54,XMIIGOLPHOKFCH-UHFFFAOYSA-N,,,,
55,FBPFZTCFMRRESA-KVTDHHQDSA-N,,,,
56,ISYWECDDZWTKFF-UHFFFAOYSA-N,,,,
57,VOXXWSYKYCBWHO-UHFFFAOYSA-N,,,,
58,BDERNNFJNOPAEC-UHFFFAOYSA-N,,sulfite oxidase deficiency,biolink:Pathway,SMP00532
58,BDERNNFJNOPAEC-UHFFFAOYSA-N,map00920,sulfur metabolism,biolink:Pathway,
59,SHZGCJCMOBCMKK-JFNONXLTSA-N,,,,
60,KFZMGEQAYNKOFK-UHFFFAOYSA-N,,,,
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,acrivastine h1-antihistamine action,biolink:Pathway,SMP59881
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,alcaftadine h1-antihistamine action,biolink:Pathway,SMP62881
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,alimemazine h1-antihistamine action,biolink:Pathway,SMP59689
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,antazoline h1-antihistamine action,biolink:Pathway,SMP57584
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,astemizole h1-antihistamine action,biolink:Pathway,SMP59897
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,azatadine h1-antihistamine action,biolink:Pathway,SMP59865
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,azelastine h1-antihistamine action,biolink:Pathway,SMP60741
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,bamipine h1-antihistamine action,biolink:Pathway,SMP62882
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,bepotastine h1-antihistamine action,biolink:Pathway,SMP60058
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,betahistine h1-antihistamine action,biolink:Pathway,SMP60744
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,betazole action pathway,biolink:Pathway,SMP00736
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,bilastine h1-antihistamine action,biolink:Pathway,SMP60170
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,bromodiphenhydramine h1-antihistamine action,biolink:Pathway,SMP58813
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,brompheniramine h1-antihistamine action,biolink:Pathway,SMP57579
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,buclizine h1-antihistamine action,biolink:Pathway,SMP58964
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,carbinoxamine h1-antihistamine action,biolink:Pathway,SMP58797
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,cetirizine h1-antihistamine action,biolink:Pathway,SMP59058
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,chlorcyclizine h1-antihistamine action,biolink:Pathway,SMP58931
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,chloropyramine h1-antihistamine action,biolink:Pathway,SMP57585
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,chlorphenamine h1-antihistamine action,biolink:Pathway,SMP56661
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,chlorphenoxamine h1-antihistamine action,biolink:Pathway,SMP58903
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,cimetidine action pathway,biolink:Pathway,SMP00232
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,cinnarizine h1-antihistamine action,biolink:Pathway,SMP59110
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,clemastine h1-antihistamine action,biolink:Pathway,SMP58891
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,clocinizine h1-antihistamine action,biolink:Pathway,SMP62788
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,cyclizine h1-antihistamine action,biolink:Pathway,SMP58923
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,cyproheptadine h1-antihistamine action,biolink:Pathway,SMP59694
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,deptropine h1-antihistamine action,biolink:Pathway,SMP62883
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,desloratadine h1-antihistamine action,biolink:Pathway,SMP60201
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,dexbrompheniramine h1-antihistamine action,biolink:Pathway,SMP57580
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,dexchlorpheniramine h1-antihistamine action,biolink:Pathway,SMP56811
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,dimetindene h1-antihistamine action,biolink:Pathway,SMP57582
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,diphenhydramine h1-antihistamine action,biolink:Pathway,SMP58785
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,diphenylpyraline h1-antihistamine action,biolink:Pathway,SMP58908
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,doxepin h1-antihistamine action,biolink:Pathway,SMP59872
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,doxylamine h1-antihistamine action,biolink:Pathway,SMP58803
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,ebastine h1-antihistamine action,biolink:Pathway,SMP60204
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,embramine h1-antihistamine action,biolink:Pathway,SMP62622
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,emedastine h1-antihistamine action,biolink:Pathway,SMP61040
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,epinastine h1-antihistamine action,biolink:Pathway,SMP61191
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,esomeprazole action pathway,biolink:Pathway,SMP00225
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,famotidine action pathway,biolink:Pathway,SMP00231
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,fc epsilon receptor i signaling in mast cells,biolink:Pathway,SMP00358
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,fenethazine h1-antihistamine action,biolink:Pathway,SMP59707
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,fexofenadine h1-antihistamine action,biolink:Pathway,SMP60218
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,flunarizine h1-antihistamine action,biolink:Pathway,SMP61047
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,gastric acid production,biolink:Pathway,SMP00589
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,histamine h1 receptor activation,biolink:Pathway,SMP53896
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,histamine h1 receptor activation,biolink:Pathway,SMP63452
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,histapyrrodine h1-antihistamine action,biolink:Pathway,SMP58732
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,map00340,histidine metabolism,biolink:Pathway,SMP00044
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,histidinemia,biolink:Pathway,SMP00191
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,homochlorcyclizine h1-antihistamine action,biolink:Pathway,SMP62795
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,hydroxyethylpromethazine h1-antihistamine action,biolink:Pathway,SMP59710
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,hydroxyzine h1-antihistamine action,biolink:Pathway,SMP58936
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,intracellular signalling through histamine h2 receptor and histamine,biolink:Pathway,SMP00335
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,isothipendyl h1-antihistamine action,biolink:Pathway,SMP59716
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,ketotifen h1-antihistamine action,biolink:Pathway,SMP59868
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,lafutidine h2-antihistamine action,biolink:Pathway,SMP51038
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,lansoprazole action pathway,biolink:Pathway,SMP00227
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,latrepirdine h1-antihistamine action,biolink:Pathway,SMP62623
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,levocabastine h1-antihistamine action,biolink:Pathway,SMP60224
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,levocetirizine h1-antihistamine action,biolink:Pathway,SMP59114
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,loratadine h1-antihistamine action,biolink:Pathway,SMP60195
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,mebhydrolin h1-antihistamine action,biolink:Pathway,SMP61052
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,meclizine h1-antihistamine action,biolink:Pathway,SMP58956
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,mepyramine h1-antihistamine action,biolink:Pathway,SMP57583
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,mequitazine h1-antihistamine action,biolink:Pathway,SMP59720
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,methapyrilene h1-antihistamine action,biolink:Pathway,SMP58741
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,methdilazine h1-antihistamine action,biolink:Pathway,SMP59730
61,NTYJJOPFIAHURM-UHFFFAOYSA-N,,metiamide action pathway,biolink:Pathway,SMP00735
