,_id,name,chemical_formula,description,status,average_mw,monoisotopic_mw,state,sources,inchikey
107,HMDB0002349,trans-trans-muconic acid,C6H6O4,"trans,trans-Muconic acid is a urinary metabolite of benzene and has been used as a biomarker of exposure to benzene in humans exposed to levels as low as 1 ppm. However, muconic acid may also be derived from sorbic acid and its salts. Dietary supplementation with 500 mg sorbic acid significantly increases the urinary trans,trans-muconic acid excretion. Under study conditions, 0.12% of the sorbic acid dose is excreted in urine as trans,trans-muconic acid thereby indicating that a typical dietary intake of 6-30 mg/day of sorbic acid accounts for 10-50% of the background of trans,trans-muconic acid excretion in nonsmokers, and for 5-25% in smokers (PMID: 8021961, 1487326, 9137998, Int Arch Occup Environ Health. 1997;69(4):247-51.). trans,trans-Muconic acid has been found to be a metabolite in Escherichia coli and Pseudomonas putida (PMID: 26360870).",quantified,142.1094,142.02660868,solid,"['blood', 'feces', 'urine']",TXXHDPDFNKHHGW-ZPUQHVIOSA-N
108,HMDB0002466,3-hydroxybenzoic acid,C7H6O3,"3-Hydroxybenzoic acid, also known as 3-hydroxybenzoate or 3-carboxyphenol, belongs to the class of organic compounds known as hydroxybenzoic acid derivatives. Hydroxybenzoic acid derivatives are compounds containing a hydroxybenzoic acid (or a derivative), which is a benzene ring bearing a carboxyl and a hydroxyl groups. 3-Hydroxybenzoic acid exists in all living organisms, ranging from bacteria to humans. Outside of the human body, 3-hydroxybenzoic acid is found, on average, in the highest concentration in american cranberries and beers. 3-hydroxybenzoic acid has also been detected, but not quantified in a few different foods, such as bilberries, citrus, and corns. As well, 3-Hydroxybenzoic Acid can be found in the pineapple fruit. It can also be formed by a Pseudomonas species from 3-Chlorobenzoic acid. 3-Hydroxybenzoic acid is a monohydroxybenzoic acid. 3-Hydroxybenzoic acid can be obtained by the alkali fusion of 3-sulfobenzoic acid between 210-220 °C. 3-Hydroxybenzoic acid is a component of castoreum, the exudate from the castor sacs of the mature North American beaver (Castor canadensis) and the European beaver (Castor fiber), used in perfumery.",quantified,138.122,138.031694053,solid,"['blood', 'feces', 'urine']",IJFXRHURBJZNAO-UHFFFAOYSA-N
109,HMDB0002643,3-(3-hydroxyphenyl)-3-hydroxypropanoic acid,C9H10O4,"3-(3-Hydroxyphenyl)-3-hydroxypropanoic acid (HPHPA) is an organic acid detected in human urine. It is relatively abundant in adult human urine and it is normally relatively benign. It is thought that the presence of this acid is from nutritional sources (i.e. dietary phenylalanine or polyphenols). However, there has been a considerable degree of ambiguity in the origin and/or significance of this compound (PMID:11978597). Recently, it has been reported that HPHPA is actually an abnormal phenylalanine metabolite arising from bacterial metabolism in the gastrointestinal tract. Specifically, HPHPA appears to arise from the action of the anaerobic bacteria Clostridia sp. (PMID:20423563; PMID:24063620). Elevated levels of HPHPA have been reported in the urine of children with autism as well as in adult patients with schizophrenia. It has been proposed that HPHPA may be a bacterial metabolite of m-tyrosine, a tyrosine analog that causes symptoms of autism in experimental animals. Under certain conditions, HPHPA can act as a neurotoxin and a metabotoxin. A neurotoxin causes damage to nerve cells and nerve tissues. A metabotoxin is an endogenously produced metabolite that causes adverse health effects at chronically high levels. Chronically high levels of HPHPA are associated with autism and schizophrenia. The mechanism by which HPHPA exerts its toxic effects is not clear.  It may function as a catecholamine analog and disrupt catecholamine signalling, especially in younger individuals. Alternately, HPHPA may function as an amino acid analog to tyrosine and phenylalanine.  High plasma concentrations of phenylalanine (and possibly HPHPA) are known to influence the blood-brain barrier transport of large neutral amino acids. This altered transport is believed to interfere with the function of different cerebral enzyme systems in the developing brain. Studies have shown that higher levels of HPHPA are associated with overgrowth of Clostridia in the gut, including Clostridium difficile, Clostridium sporogenes, Clostridium botulinum, Clostridium calortolerans, Clostridium mangenoyi, Clostridium ghoni, Clostridium bifermentans, Clostridium sordelli. (PMID:20423563; PMID:24063620)",quantified,182.1733,182.057908808,solid,"['blood', 'urine']",KHTAGVZHYUZYMF-UHFFFAOYSA-N
110,HMDB0002658,6-hydroxynicotinic acid,C6H5NO3,"6-Hydroxynicotinic acid (6-OHNA) is exploited in the use of NMR spectroscopy or gas chromatography--mass spectrometry for the diagnosis of Pseudomonas aeruginosa in urinary tract infection. Among the common bacteria causing urinary infection, only P. aeruginosa produces 6-hydroxynicotinic acid from nicotinic acid. Pseudomonas aeruginosa infection has been reported to be the third leading cause of urinary infection, accounting for 11% of such infections, the first and second being Escherichia coli and Klebsiella pneumonia, respectively. Analyses of the NMR spectra of the bacterial media with variable cell count of P. aeruginosa, shows that the intensity of the signals of the 6-hydroxynicotinic acid increases with increasing number of bacterial cells (PMID:3926801, 15759292). 6-hydroxynicotinic acid can also be found in Achromobacter and Serratia.",quantified,139.1088,139.026943031,solid,"['feces', 'urine']",BLHCMGRVFXRYRN-UHFFFAOYSA-N
111,HMDB0002714,methane,CH4,"Methane (CH4), is a gas produced by a group of colonic anaerobes, absorbed from the colon and excreted in expired air. As a result, breath CH4 excretion can be used as an indicator of the in situ activity of the methanogenic flora. All CH4 produced in human beings is a metabolic product of intestinal bacteria, and about 50% of CH4 produced in the gut is absorbed and excreted in expired air. Because there appears to be no catabolism of this gas by other colonic organisms or host cells, breath CH4 measurements provide a rapid, simple means of semi quantitatively assessing the ongoing in situ metabolism of the methanogenic flora. It could seem likely that the intracolonic activity of a variety of bacteria similarly might be assessed quantitatively via analysis of expired air. However, the application of this methodology has been confounded by the rapid catabolism of many volatile bacterial products by other bacteria or human tissue. A striking aspect of the studies of breath CH4 measurements is the enormous individual variations in the excretion of this gas. Virtually all children under 5 years of age and 66% of the adult population do not exhale appreciable quantities of CH4. The remaining 34% of the adult population has appreciable breath methane concentrations of up to 80 ppm (mean, 15.2 ppm; median, 11.8 ppm). On this basis the population can be divided into CH4 producers or nonproducers, although a more accurate term would be to define subjects as being low or high CH4 producers. The primary methanogen present in the human colon, Methanobrevibacter smithii, produces methane via a reaction that relies entirely on H2 produced by other organisms to reduce CO2 to CH4. Thus, breath CH4 concentrations might be expected to mirror breath H2 concentrations; however, the high levels of CH4 observed in the fasting state may result from H2 derived from endogenous rather than dietary substrates. A diverse assortment of conditions has been associated with a high prevalence of methane producers including diverticulosis, cystic fibrosis, high fasting serum cholesterol levels, encopresis in children, and aorto-iliac vascular disease, whereas obesity (measured as skin-fold thickness) was related inversely to methane production. The challenge that remains is to determine to what extent methanogens actively influence body physiology vs. simply serve as passive indicators of colonic function. (PMID: 16469670, Clinical Gastroenterology and Hepatology Volume 4, Issue 2, February 2006, Pages 123-129). Methane can be found in Desulfovibrio, Methanobacterium, Methanobrevibacter, Methanococcus, Methanocorpusculum, Methanoculleus, Methanoflorens, Methanofollis, Methanogenium, Methanomicrobium, Methanopyrus, Methanoregula, Methanosaeta, Methanosarcina, Methanosphaera, Methanospirillium, Methanothermobacter (Wikipedia).",detected,16.0425,16.031300128,liquid,"['blood', 'feces', 'urine']",VNWKTOKETHGBQD-UHFFFAOYSA-N
112,HMDB0002789,zeaxanthin,C40H56O2,"Zeaxanthin is a carotenoid xanthophyll and is one of the most common carotenoid found in nature. It is the pigment that gives corn, saffron, and many other plants their characteristic color. Zeaxanthin breaks down to form picrocrocin and safranal, which are responsible for the taste and aroma of saffron Carotenoids are among the most common pigments in nature and are natural lipid soluble antioxidants. Zeaxanthin is one of the two carotenoids (the other is lutein) that accumulate in the eye lens and macular region of the retina with concentrations in the macula greater than those found in plasma and other tissues. Lutein and zeaxanthin have identical chemical formulas and are isomers, but they are not stereoisomers. The main difference between them is in the location of a double bond in one of the end rings. This difference gives lutein three chiral centers whereas zeaxanthin has two. A relationship between macular pigment optical density, a marker of lutein and zeaxanthin concentration in the macula, and lens optical density, an antecedent of cataractous changes, has been suggested. The xanthophylls may act to protect the eye from ultraviolet phototoxicity via quenching reactive oxygen species and/or other mechanisms. Some observational studies have shown that generous intakes of lutein and zeaxanthin, particularly from certain xanthophyll-rich foods like spinach, broccoli and eggs, are associated with a significant reduction in the risk for cataract (up to 20%) and for age-related macular degeneration (up to 40%). While the pathophysiology of cataract and age-related macular degeneration is complex and contains both environmental and genetic components, research studies suggest dietary factors including antioxidant vitamins and xanthophylls may contribute to a reduction in the risk of these degenerative eye diseases. Further research is necessary to confirm these observations. (PMID: 11023002). Zeaxanthin has been found to be a microbial metabolite, it can be produced by Algibacter, Aquibacter, Escherichia, Flavobacterium, Formosa, Gramella, Hyunsoonleella, Kordia, Mesoflavibacter, Muricauda, Nubsella, Paracoccus, Siansivirga, Sphingomonas, Zeaxanthinibacter and yeast (https://reader.elsevier.com/reader/sd/pii/S0924224417302571?token=DE6BC6CC7DCDEA6150497AA3E375097A00F8E0C12AE03A8E420D85D1AC8855E62103143B5AE0B57E9C5828671F226801). It is a marker for the activity of Bacillus subtilis and/or Pseudomonas aeruginosa in the intestine. Higher levels are associated with higher levels of Bacillus or Pseudomonas. (PMID: 17555270; PMID: 12147474)",quantified,568.886,568.428031043,solid,['blood'],JKQXZKUSFCKOGQ-QAYBQHTQSA-N
113,HMDB0003156,"2,3-butanediol",C4H10O2,"2,3-Butanediol is an isomer of butanediol. The 2R,3R stereoisomer of 2,3-butanediol is produced by a variety of microorganisms, in a process known as butanediol fermentation. 2,3-Butanediol fermentation is the anaerobic fermentation of glucose with 2,3-butanediol as one of the end products. The overall stoichiometry of the reaction is 2 pyruvate + NADH --> 2CO2 + 2,3-butanediol. Butanediol fermentation is typical for Enterobacter species or microbes found in the gut. 2,3-butanediol has been identified in the sera of alcoholics and it may be a specific marker of alcohol abuse (PMID:6139706). In humans, 2,3-butanediol is oxidized to acetyl-CoA via acetoin. 2,3-Butanediol is also found in cocoa butter. 2,3-Butanediol can also be found in Bacillus, Klebsiella and Serratia (PMID:21272631).",quantified,90.121,90.068079564,solid,"['blood', 'feces', 'urine']",OWBTYPJTUOEWEK-UHFFFAOYSA-N
114,HMDB0003276,hydrogen sulfide,H2S,"Hydrogen sulfide is a highly toxic and flammable gas. Because it is heavier than air it tends to accumulate at the bottom of poorly ventilated spaces. Although very pungent at first, it quickly deadens the sense of smell, so potential victims may be unaware of its presence until it is too late. H2S arises from virtually anywhere where elemental sulfur comes into contact with organic material, especially at high temperatures. Hydrogen sulfide is a covalent hydride chemically related to water (H2O) since oxygen and sulfur occur in the same periodic table group. It often results when bacteria break down organic matter in the absence of oxygen, such as in swamps, and sewers (alongside the process of anaerobic digestion). It also occurs in volcanic gases, natural gas and some well waters. It is also important to note that Hydrogen sulfide is a central participant in the sulfur cycle, the biogeochemical cycle of sulfur on Earth. As mentioned above, sulfur-reducing and sulfate-reducing bacteria derive energy from oxidizing hydrogen or organic molecules in the absence of oxygen by reducing sulfur or sulfate to hydrogen sulfide. Other bacteria liberate hydrogen sulfide from sulfur-containing amino acids. Several groups of bacteria can use hydrogen sulfide as fuel, oxidizing it to elemental sulfur or to sulfate by using oxygen or nitrate as oxidant. The purple sulfur bacteria and the green sulfur bacteria use hydrogen sulfide as electron donor in photosynthesis, thereby producing elemental sulfur. (In fact, this mode of photosynthesis is older than the mode of cyanobacteria, algae and plants which uses water as electron donor and liberates oxygen). Hydrogen sulfide can be found in Alcaligenes, Chromobacteriumn, Klebsiella, Proteus and Pseudomonas (PMID: 13061742).",quantified,34.081,33.987720754,liquid,"['blood', 'feces']",RWSOTUBLDIXVET-UHFFFAOYSA-N
115,HMDB0003306,phloretin,C15H14O5,"Phloretin is the aglucone of phlorizin, a plant-derived dihydrochalcone phytochemical reported to promote potent antioxidative activities in peroxynitrite scavenging and the inhibition of lipid peroxidation. Phloretin, which is present in apples, pears and tomatoes, has been found to inhibit the growth of several cancer cells and induce apoptosis of B16 melanoma and HL60 human leukemia cells. Phloretin also inhibits HT-29 cell growth by inducing apoptosis, which may be mediated through changes in mitochondrial membrane permeability and activation of the caspase pathways. Phloretin is a well-known inhibitor of eukaryotic urea transporters, blocks VacA-mediated urea and ion transport (PMID:18158826, 11560962, 18063724, 15671209, 12083758). Phloretin is a biomarker for the consumption of apples. Phloretin has been found to be a metabolite of Escherichia (PMID:23542617).",quantified,274.2687,274.084123558,solid,"['blood', 'urine']",VGEREEWJJVICBM-UHFFFAOYSA-N
116,HMDB0003339,d-glutamic acid,C5H9NO4,"There are two forms of glutamic acid found in nature: L-glutamic acid and D-glutamic acid. D-glutamic acid, is not endogenously produced in higher mammals. It is found naturally primarily in the cell walls of certain bacteria. D-glutamate is also present in certain foods e.g., soybeans and also arises from the turnover of the intestinal tract microflora, whose cell walls contain significant D-glutamate. Unlike other D-amino acids, D-glutamate is not oxidized by the D-amino acid oxidases, and therefore this detoxification pathway is not available for handling D-glutamate. Likewise, D-glutamic acid, when ingested, largely escapes most deamination reactions (unlike the L-counterpart). Free D-glutamate is found in mammalian tissue at surprisingly high levels, with D-glutamate accounting for 9% of the total glutamate present in liver. D-glutamate is the most potent natural inhibitor of glutathione synthesis identified to date and this may account for its localization to the liver, since circulating D-glutamate may alter redox stabiity (PMID 11158923). Certain eels are known to use D-glutamic acid as a phermone for chemical communication. D-Glutamic acid has been found to be a metabolite of Lactobacillus (PMID: 22754309).",quantified,147.1293,147.053157781,solid,"['blood', 'breast milk', 'feces', 'saliva', 'urine']",WHUUTDBJXJRKMK-GSVOUGTGSA-N
117,HMDB0003355,5-aminopentanoic acid,C5H11NO2,"5-Aminopentanoic acid (or 5-aminovalerate) is a lysine degradation product.  It can be produced both endogenously or through bacterial catabolism of lysine.  5-aminovalerate is formed via the following multi-step reaction: L-lysine leads to cadverine leads to L-piperideine leads 5-aminovalerate (PMID:405455).  In other words it is a metabolite of cadaverine which is formed via the intermediate, 1-piperideine (PMID:6436440).  Cadaverine is a foul-smelling diamine compound produced by protein hydrolysis during putrefaction of animal tissue. High levels of 5-aminovalerate in biofluids may indicate bacterial overgrowth or endogenous tissue necrosis.  In most cases  endogenous 5-aminovalerate is thought to be primarily a microbial metabolite produced by the gut or oral microflora, although it can be produced endogenously.  5-aminovalerate is a normal metabolite present in human saliva, with a tendency to elevated concentration in patients with chronic periodontitis. Bacterial contamination and decomposition of salivary proteins is primarily responsible for elevated salivary levels (PMID 3481959). Beyond being a general waste product, 5-aminovalerate is also believed to act as a methylene homologue of gamma-aminobutyric acid (GABA) and functions as a weak GABA agonist (PMID:4031870). It is also known as an antifibrinolytic amino acid analog and so it functions as a weak inhibitor of the blood clotting pathway (PMID:6703712). 5- aminovalerate is an in vivo substrate of 4-aminobutyrate:2-oxoglutarate aminotransferase (PMID:4031870). It can be found in Corynebacterium (PMID:27717386).",quantified,117.1463,117.078978601,solid,"['blood', 'feces', 'saliva', 'urine']",JJMDCOVWQOJGCB-UHFFFAOYSA-N
118,HMDB0003447,tryptophol,C10H11NO,"Tryptophol, also known as indole-3-ethanol, is an indolyl alcohol that is ethanol substituted by a 1H-indol-3-yl group at position 2. It has a role as a Saccharomyces cerevisiae metabolite, an auxin and a plant metabolite. Tryptophol is a catabolite of tryptophan converted by the gut microbiota. After absorption through the intestinal epithelium, tryptophan catabolites enter the bloodstream and are later excreted in the urine (PMID:30120222). Tryptophol production was negatively associated with interferon-gamma production (IFNγ) which suggests that tryptophol has anti-inflammatory properties (PMID:27814509). Tryptophol has also been identified as the hypnotic agent in trypanosomal sleeping sickness, and because it is formed in vivo after ethanol or disulfiram treatment, it is also associated with the study of alcoholism (PMID:7241135).",detected,161.2004,161.084063979,solid,"['blood', 'urine']",MBBOMCVGYCRMEA-UHFFFAOYSA-N
119,HMDB0003769,etiocholanedione,C19H28O2,"Etiocholanedione is a 5-beta metabolite product of the catabolism of androgens. Etiocholanedione has been identified as a ketosteroid and isolated from the urine of healthy and diseased persons. Etiocholanedione has been identified as a metabolite of an altered androgen metabolism that eventually leads hepatocellular carcinoma to impaired hormone responsiveness in human. Etiocholanedione has been identified as a metabolite of 17alpha-hydroxyprogesterone in some patients affected by congenital adrenal hyperplasia, although it doesn't appear to account for the masculinization observed in congenital hyperplasia. Etiocholanedione can be the product of microbial contamination of urine since a few organisms are able to synthesize it using endogenous steroids as substrates. Human axillary bacteria are able to produce small amounts of etiocholanedione from testosterone. (PMID: 12161001, 13795320, 11161304, 2026727). Etiocholanedione has been found to be a metabolite of Corynebacterium (PMID: 11161304).",expected,288.4244,288.20893014,solid,,RAJWOBJTTGJROA-QJISAEMRSA-N
120,HMDB0003826,"6,7-dimethyl-8-(1-d-ribityl)lumazine",C13H18N4O6,"6,7-Dimethyl-8-(1-D-ribityl)lumazine belongs to the class of organic compounds known as pteridines and derivatives. These are polycyclic aromatic compounds containing a pteridine moiety, which consists of a pyrimidine fused to a pyrazine ring to form pyrimido(4,5-b)pyrazine. 6,7-Dimethyl-8-(1-D-ribityl)lumazine is an extremely weak basic (essentially neutral) compound (based on its pKa). 6,7-Dimethyl-8-(1-D-ribityl)lumazine exists in all living organisms, ranging from bacteria to humans. In humans, 6,7-dimethyl-8-(1-D-ribityl)lumazine is involved in riboflavin metabolism. Outside of the human body, 6,7-dimethyl-8-(1-D-ribityl)lumazine has been detected, but not quantified in, several different foods, such as quinoa, arrowhead, conchs, watermelons, and Elliott's blueberries. This could make 6,7-dimethyl-8-(1-D-ribityl)lumazine a potential biomarker for the consumption of these foods. 6,7-Dimethyl-8-(1-D-ribityl)lumazine is an intermediate in riboflavin metabolism. 6,7-Dimethyl-8-(1-D-ribityl)lumazine is the second to last step in the synthesis of ribitol and is converted from 4-(1-D-ribitylamino)-5-amino-2,6-dihydroxypyrimidine via the enzyme riboflavin synthase beta chain. It is then converted into riboflavin via the enzyme riboflavin synthase alpha chain (EC 2.5.1.9).",expected,326.3052,326.122634328,solid,,SXDXRJZUAJBNFL-XKSSXDPKSA-N
121,HMDB0003841,5-amino-6-(5'-phosphoribitylamino)uracil,C9H17N4O9P,"5-Amino-6-(5'-phosphoribitylamino)uracil belongs to the class of organic compounds known as monosaccharide phosphates. These are monosaccharides comprising a phosphated group linked to the carbohydrate unit. 5-Amino-6-(5'-phosphoribitylamino)uracil is an extremely weak basic (essentially neutral) compound (based on its pKa). 5-Amino-6-(5'-phosphoribitylamino)uracil has been detected, but not quantified in, several different foods, such as sapodilla, kumquats, sacred lotus, Persian limes, and Cascade huckleberries. This could make 5-amino-6-(5'-phosphoribitylamino)uracil a potential biomarker for the consumption of these foods. 5-Amino-6-(5'-phosphoribitylamino)uracil is an intermediate in riboflavin metabolism. 5-Amino-6-(5'-phosphoribitylamino)uracil is the third to last step in the synthesis of 7-hydroxy-6-methyl-8-ribityl lumazine and is converted from 5-amino-6-(5'-phosphoribosylamino)uracil via the enzyme 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193). It is then converted into 4-(1-D-ribitylamino)-5-amino-2,6-dihydroxypyrimidine via a hydrolase enzyme (EC 3.1.3.- ).",expected,356.2264,356.073314674,solid,,RQRINYISXYAZKL-RPDRRWSUSA-N
122,HMDB0004085,tuberculostearic acid,C19H38O2,"Tuberculostearic acid is the characteristic fatty acid of acid-fast bacteria of the order Actinomycetales. (PMID 3329256). Tuberculostearic acid (TBSA) is a mycobacterial cell wall constituent that is possible to measure in plasma samples of patients with active tuberculosis. (PMID 14723350). Detection of tuberculostearic acid in cerebrospinal fluid by use of gas chromatography-mass spectrometry has proven to be a very rapid, sensitive, and specific test for tuberculous meningitis. (PMID 8438134). Tuberculostearic acid can also be found in Actinomycetales (PMID: 109465).",detected,298.5038,298.28718046,solid,['cerebrospinal fluid (csf)'],BEOUGZFCUMNGOU-UHFFFAOYSA-N
123,HMDB0004162,galactan,(C12H20O11)nC2H6,"Galactan is a beta-glucan consisting of polymerized galactose. Beta -glucans are glucose polymers found in the cell walls of plants, fungi, and bacteria and as conserved structures can be considered to be classical pathogen-associated molecular patterns. These polymers belong to a class of drugs known as biological response modifiers and have a variety of effects on the immune system, including antitumor and anti-infective activities, protecting against fungal, bacterial, viral, and protozoal infections. Both particulate and soluble beta -glucans mediate these activities by activating leukocytes and stimulating their phagocytic activity and the production of reactive oxygen intermediates, inflammatory mediators, and cytokines. Despite the wealth of knowledge regarding the effects of beta-glucans and their obvious therapeutic potential, the molecular mechanisms that underlie these responses are not well understood. A number of receptors are thought to play a role in mediating these responses, including murine Dectin-1, which we recently identified as a beta-glucan receptor. Dectin-1 is a C-type lectin receptor that mediates the production of reactive oxygen species and inflammatory cytokines. Galactan is found in hemicellulose and can be converted to galactose by hydrolysis. (PMID: 11567029, 11567029, 16880608). Galactan can be produced by bacteria, such as Bifidobacteria, Lactococcus and Methylobacterium (http://www.scielo.br/pdf/babt/v54n6/02.pdf).",expected,,,solid,,PTHCMJGKKRQCBF-ICIGWGHZSA-N
124,HMDB0004284,tyrosol,C8H10O2,"Tyrosol is a phenolic compound present in two of the traditional components of the Mediterranean diet: wine and virgin olive oil. The presence of tyrosol has been described in red and white wines. Tyrosol is also present in vermouth and beer. Tyrosol has been shown to be able to exert antioxidant activity in vitro studies. Oxidation of low-density lipoprotein (LDL) appears to occur predominantly in arterial intimae in microdomains sequestered from antioxidants of plasma. The antioxidant content of the LDL particle is critical for its protection. The ability of tyrosol to bind human LDL has been reported. The bioavailability of tyrosol in humans from virgin olive oil in its natural form has been demonstrated. Urinary tyrosol increases, reaching a peak at 0-4 h after virgin olive oil administration. Men and women show a different pattern of urinary excretion of tyrosol. Moreover, tyrosol is absorbed in a dose-dependent manner after sustained and moderate doses of virgin olive oil. Tyrosol from wine or virgin olive oil could exert beneficial effects on human health in vivo if its biological properties are confirmed (PMID 15134375). Tyrosol is a microbial metabolite found in Bifidobacterium, Escherichia and Lactobacillus (PMID:28393285).",quantified,138.1638,138.068079564,solid,"['blood', 'feces', 'urine']",YCCILVSKPBXVIP-UHFFFAOYSA-N
125,HMDB0004327,1-butanol,C4H10O,"1-Butanol, which is also known as n-butanol or 1-butanol or butyl alcohol (sometimes also called biobutanol when produced biologically), is an alcohol with a 4 carbon structure and the molecular formula of C4H10O. It is primarily used as a solvent, as an intermediate in chemical synthesis, and as a fuel. There are four isomeric structures for butanol. The straight chain isomer with the alcohol at an internal carbon is sec-butanol or 2-butanol. The branched isomer with the alcohol at a terminal carbon is isobutanol, and the branched isomer with the alcohol at the internal carbon is tert-butanol. 1-Butanol is produced in small amounts by gut microbial fermenetation through the butanoate metabolic pathway. It has been found in Bacillus, Clostridium, Escherichia, Lactobacillus, Pseudomonas, Saccharomyces, Synechococcus and Thermoanaerobacterium.",quantified,74.1216,74.073164942,liquid,"['blood', 'feces', 'saliva']",LRHPLDYGYMQRHN-UHFFFAOYSA-N
126,HMDB0004812,"2,5-furandicarboxylic acid",C6H4O5,"2,5-Furandicarboxylic acid is a normal urinary metabolite in humans. (PMID:14708889, 8087979, 2338430, 3711221). Dietary studies show that the furan derivatives or their precursors are of exogenous origin. They are originated from furan derivatives found in food prepared by strong heating. This may explain the absence of 2,5-furandicarboxylic acid in urine of breastfed children, and the absence of these acids in the urine of rats, pigs, cows, oxs, rabbits, and monkeys (PMID 4630229). 2,5-Furandicarboxylic acid is also a microbial metabolite, a product of the oxidation of hydroxymethylfurfural (HMF) by the enzyme furfural/HMF oxidoreductase which is found in the bacterium Cupriavidus basilensis. Cupriavidus basilensis is a gram-negative soil bacterium of the genus Cupriavidus and the family Burkholderiaceae. 2,5-Furandicarboxylic acid increases with the level of fructose consumed (PMID:20194784).",quantified,156.093,156.005873238,solid,"['blood', 'urine']",CHTHALBTIRVDBM-UHFFFAOYSA-N
127,HMDB0004983,dimethyl sulfone,C2H6O2S,"Dimethyl sulfone, also known as sulfonylbismethane or lignisul MSM, belongs to the class of organic compounds known as sulfones. Sulfones are compounds containing a sulfonyl group, which has the general structure RS(=O)2R' (R,R' =alkyl, aryl), attached to two carbon atoms. Dimethyl sulfone (DMSO2) is an organic sulfur compound belonging to a class of chemicals known as sulfones. It derives from dietary sources, from intestinal bacterial metabolism and from human endogenous methanethiol metabolism. DMSO2 reflects its close chemical relationship to dimethyl sulfoxide (DMSO), which differs only in the oxidation state of the sulfur atom. Dimethyl sulfone is possibly neutral. Dimethyl sulfone exists in all living organisms, ranging from bacteria to humans. DMSO2 is the primary metabolite of DMSO in humans, and it shares some of the properties of DMSO. Dimethyl sulfone is sulfurous tasting compound. dimethyl sulfone is found on average in the highest concentration in milk (cow). Dimethyl sulfone has also been detected, but not quantified in asparagus and guava. This could make dimethyl sulfone a potential biomarker for the consumption of these foods. Dimethyl sulfone can be found in Afipia. It occurs naturally in some primitive plants and is present in small amounts in many foods and beverages.  Dimethyl sulfone can be found in plasma and CSF of normal humans.",quantified,94.133,94.008850126,solid,"['blood', 'cerebrospinal fluid (csf)', 'saliva', 'urine']",HHVIBTZHLRERCL-UHFFFAOYSA-N
128,HMDB0005784,hydroxytyrosol,C8H10O3,Hydroxytyrosol is a polyphenol extracted from virgin olive oil and a natural antioxidant. It has a protective effect in preventing protein damage induced by ultraviolet radiation (PMID: 15749387). Research results suggest that Hydroxytyrosol could exert its antioxidant effect by scavenging hydrogen peroxide but not superoxide anion released during the respiratory burst (PMID: 15476671). Hydroxytyrosol has been found to be a metabolite of Escherichia (PMID: 22948011).,quantified,154.1632,154.062994186,solid,"['blood', 'feces', 'urine']",JUUBCHWRXWPFFH-UHFFFAOYSA-N
129,HMDB0006006,isobutanol,C4H10O,"Isobutanol is an aliphatic alcohol. Isobutanol is a colorless, flammable, organic compound with a characteristic smell. Isobutanol is widely used in industry, as a solvent in chemical reactions, as well as being a useful starting material for organic synthesis. Isobutanol is a flammable liquid that should be stored and used in well-ventilated areas. It is moderately irritating to the skin and greatly irritating to the eyes, mucous membranes and respiratory tract. Exposure to high concentrations of its vapour can cause temporary narcosis. Isobutanol is occasionally found as a volatile component of urine and arises from gut microbial metabolism. Isobutanol is used as one of the markers to measure occupational exposure to a mixture of solvents. Aliphatic alcohols levels increase in both diabetes mellitus and insulin-dependent diabetes patients. (PMID:5556886, 2477620, 9143482, 7627316, 2288731). Isobutanol is a microbial metabolite found in Clostridium, Cupriavidus, Escherichia, Geobacillus, Saccharomyces and Synechococcus (PMID:19946322).",detected,74.1216,74.073164942,liquid,"['feces', 'saliva']",ZXEKIIBDNHEJCQ-UHFFFAOYSA-N
130,HMDB0006007,isopentanol,C5H12O,"Isopentanol, also known as isoamyl alcohol or 3-methylbutanol, belongs to the class of organic compounds known as primary alcohols. Primary alcohols are compounds comprising the primary alcohol functional group, with the general structure RCOH (R=alkyl, aryl). Thus, isopentanol is considered to be a fatty alcohol lipid molecule. Isopentanol is a very hydrophobic molecule, practically insoluble in water, and relatively neutral. Isopentanol exists in all eukaryotes, ranging from yeast to humans. Isopentanol is an alcoholic, banana, and burnt tasting compound. Isopentanol is found, on average, in the highest concentration within milk (cow). Isopentanol has also been detected, but not quantified, in several different foods, such as chinese cinnamons, grapefruits, walnuts, wild leeks, and spearmints. This could make isopentanol a potential biomarker for the consumption of these foods. Isopentanol is one of several isomers of amyl alcohol. Isopentanol is the major higher chain alcohol in alcoholic beverages and is present in cider, mead, beer, wine, and spirits to varying degrees, being obtained by the fermentation of starches. Isopentanol, with regard to humans, has been found to be associated with the diseases such as ulcerative colitis; isopentanol has also been linked to the inborn metabolic disorder celiac disease. Isopentanol is a metabolite found in Escherichia (PMID:18676713).",quantified,88.1482,88.088815006,liquid,"['feces', 'saliva']",PHTQWCKDNZKARW-UHFFFAOYSA-N
